sentence,relation,head,tail,head_offset,tail_offset
布隆过滤器是稳定性的重要属性,attr,稳定性,布隆过滤器,6,0
插值查找由边表等部分构成,b-belg,边表,插值查找,5,0
十字链表表现出平衡的特性,attr,十字链表,平衡,0,7
在AVL树中包含了跳跃表,belg,AVL树,跳跃表,1,9
拓扑排序需要使用冲突解决,rely,拓扑排序,冲突解决,0,8
实现位序时需要依赖Kruskal算法,rely,位序,Kruskal算法,2,9
位序包含分治算法,b-belg,分治算法,位序,4,0
斐波那契堆等同于中序遍历,syno,斐波那契堆,中序遍历,0,8
顺序查找表现出引用的特性,b-attr,引用,顺序查找,7,0
动态查找包含内部排序,belg,动态查找,内部排序,0,6
实现垃圾回收时需要依赖不相交集合,b-rely,不相交集合,垃圾回收,11,2
无序序列和链式存储是同义概念,syno,无序序列,链式存储,0,5
在算法中，AOV网和树状数组执行相反的功能,anto,AOV网,树状数组,5,10
Prim算法是十字链表的组成部分,b-belg,Prim算法,十字链表,0,7
左子树与链表具有相同的含义,syno,左子树,链表,0,4
最短路径与抽象数据类型具有相同的含义,syno,最短路径,抽象数据类型,0,5
Kruskal算法由Floyd算法等部分构成,belg,Kruskal算法,Floyd算法,0,10
集合的特征是队列,b-attr,队列,集合,6,0
算法的可行性需要使用删除,b-rely,删除,算法的可行性,10,0
动态规划入门与重叠子问题具有相同的含义,syno,动态规划入门,重叠子问题,0,7
重叠子问题表现出排序算法稳定性的特性,b-attr,排序算法稳定性,重叠子问题,8,0
克鲁斯卡尔算法具有广度优先搜索属性,attr,克鲁斯卡尔算法,广度优先搜索,0,9
逻辑结构包含时间复杂度,belg,逻辑结构,时间复杂度,0,6
稳定性表现出静态查找的特性,attr,稳定性,静态查找,0,6
入度由循环链表等部分构成,belg,入度,循环链表,0,3
顺序存储和回溯算法是对立的概念,anto,顺序存储,回溯算法,0,5
树的深度依赖于动态规划入门,b-rely,动态规划入门,树的深度,7,0
二路归并是贪心选择性质的组成部分,b-belg,二路归并,贪心选择性质,0,5
在数据结构中，左子树和递推表示相同的概念,syno,左子树,递推,7,11
Prim算法包含不相交集合,b-belg,不相交集合,Prim算法,8,0
普里姆算法是左子树的重要属性,b-attr,普里姆算法,左子树,0,6
数组依赖于初始化,rely,数组,初始化,0,5
加权图是生成森林的重要属性,attr,生成森林,加权图,4,0
非比较排序等同于平衡因子,syno,非比较排序,平衡因子,0,8
算法步骤与删除具有相反的作用,anto,算法步骤,删除,0,5
十字链表具有Θ记号属性,b-attr,Θ记号,十字链表,6,0
摊还分析与层序遍历具有相反的作用,anto,摊还分析,层序遍历,0,5
AOE 网与边表具有相同的含义,syno,AOE 网,边表,0,6
二项堆具有图属性,b-attr,图,二项堆,5,0
非连通图需要使用按秩合并,b-rely,按秩合并,非连通图,8,0
映射由势能方法等部分构成,belg,映射,势能方法,0,3
在数据结构中，后缀数组和按秩合并表示相同的概念,syno,后缀数组,按秩合并,7,12
在分支限界中包含了对象池,belg,分支限界,对象池,1,9
线性查找依赖于冒泡排序,b-rely,冒泡排序,线性查找,7,0
最优子结构与随机访问具有相同的含义,syno,最优子结构,随机访问,0,6
无序表表现出映射的特性,attr,无序表,映射,0,6
图的边表现出入栈的特性,b-attr,入栈,图的边,6,0
在算法中，后缀数组和入度执行相反的功能,anto,后缀数组,入度,5,10
最优子结构由强连通分量等部分构成,belg,最优子结构,强连通分量,0,6
在数据结构中，链地址法和链式存储表示相同的概念,syno,链地址法,链式存储,7,12
链表节点需要使用不相交集合,rely,链表节点,不相交集合,0,8
前序遍历依赖于中序遍历,b-rely,中序遍历,前序遍历,7,0
拓扑排序表现出并查集的特性,b-attr,并查集,拓扑排序,7,0
对象池与扩容具有相反的作用,anto,对象池,扩容,0,4
最短路径的实现基于边表,rely,最短路径,边表,0,9
记忆化搜索的实现基于稠密图,rely,记忆化搜索,稠密图,0,10
线性查找具有树状数组属性,attr,线性查找,树状数组,0,6
哈希函数包含双端队列,belg,哈希函数,双端队列,0,6
稳定性是后缀树的重要属性,b-attr,稳定性,后缀树,0,4
层序遍历的特征是存储结构,attr,层序遍历,存储结构,0,8
根节点表现出中序遍历的特性,attr,根节点,中序遍历,0,6
逻辑结构需要使用分块查找,rely,逻辑结构,分块查找,0,8
动态规划的特征是二叉树,b-attr,二叉树,动态规划,8,0
算法的确定性与连通分量具有相同的含义,syno,算法的确定性,连通分量,0,7
在加权图中包含了最小生成树,belg,加权图,最小生成树,1,8
边表是连通图的重要属性,attr,连通图,边表,3,0
会计方法包含右子树,belg,会计方法,右子树,0,6
LRU缓存等同于大O记号,syno,LRU缓存,大O记号,0,8
出队是动态规划的重要属性,attr,动态规划,出队,3,0
线段树是Kruskal算法的组成部分,belg,Kruskal算法,线段树,4,0
在动态数组中包含了顺序存储,belg,动态数组,顺序存储,1,9
字符串表现出递归复杂度的特性,attr,字符串,递归复杂度,0,6
排序依赖于线段树,rely,排序,线段树,0,5
在数据结构中，扩容和存储结构表示相同的概念,syno,扩容,存储结构,7,10
路径包含树的度,b-belg,树的度,路径,4,0
左子树表现出邻接表的特性,attr,左子树,邻接表,0,6
连通图具有分块查找属性,b-attr,分块查找,连通图,5,0
Ω记号具有Prim算法属性,attr,Ω记号,Prim算法,0,5
在销毁中包含了双向链表,b-belg,双向链表,销毁,7,1
链地址法是生成森林的重要属性,attr,生成森林,链地址法,5,0
递归复杂度依赖于B+树,rely,递归复杂度,B+树,0,8
双向链表的特征是内存分配,attr,双向链表,内存分配,0,8
动态规划入门由链表等部分构成,belg,动态规划入门,链表,0,7
索引存储是希尔排序的组成部分,b-belg,索引存储,希尔排序,0,5
分治具有AOE网属性,attr,分治,AOE网,0,4
双端队列依赖于LFU缓存,b-rely,LFU缓存,双端队列,7,0
折半查找是后缀数组的组成部分,belg,后缀数组,折半查找,5,0
位序由动态规划入门等部分构成,belg,位序,动态规划入门,0,3
出队是递归复杂度的组成部分,b-belg,出队,递归复杂度,0,3
实现环时需要依赖非连通图,rely,环,非连通图,2,8
实现贪心算法时需要依赖入队,rely,贪心算法,入队,2,11
树的实现基于哈希查找,b-rely,哈希查找,树,6,0
栈是直接插入排序的组成部分,b-belg,栈,直接插入排序,0,2
表尾需要使用快速排序,rely,表尾,快速排序,0,6
分割是右子树的组成部分,b-belg,分割,右子树,0,3
树状数组依赖于二项堆,rely,树状数组,二项堆,0,7
在桶排序中包含了复制,b-belg,复制,桶排序,8,1
递归基础依赖于边,rely,递归基础,边,0,7
贪心选择性质的实现基于稳定排序,b-rely,稳定排序,贪心选择性质,11,0
不稳定排序等同于冒泡排序,syno,不稳定排序,冒泡排序,0,8
逻辑结构表现出平均情况的特性,b-attr,平均情况,逻辑结构,7,0
访问具有渐近复杂度属性,attr,访问,渐近复杂度,0,4
AC自动机具有插值查找属性,b-attr,插值查找,AC自动机,7,0
字符串需要使用拓扑排序,rely,字符串,拓扑排序,0,7
环的特征是边的方向,b-attr,边的方向,环,5,0
线性结构由原地排序等部分构成,b-belg,原地排序,线性结构,5,0
根节点是动态内存的重要属性,b-attr,根节点,动态内存,0,4
二项堆表现出路径的特性,b-attr,路径,二项堆,6,0
内存池具有动态规划入门属性,attr,内存池,动态规划入门,0,5
前序遍历需要使用回溯法,rely,前序遍历,回溯法,0,8
插值查找依赖于散列存储,rely,插值查找,散列存储,0,7
引用是会计方法的重要属性,attr,会计方法,引用,3,0
移动包含二分查找,b-belg,二分查找,移动,4,0
树状数组和堆内存是对立的概念,anto,树状数组,堆内存,0,5
状态转移依赖于度,b-rely,度,状态转移,7,0
空表具有二分查找属性,b-attr,二分查找,空表,4,0
链式存储表现出重叠子问题的特性,attr,链式存储,重叠子问题,0,7
大O记号与集合具有相同的含义,syno,大O记号,集合,0,5
直接插入排序包含二分查找,belg,直接插入排序,二分查找,0,8
在算法中，邻接表和静态数组执行相反的功能,anto,邻接表,静态数组,5,9
静态数组具有动态查找属性,b-attr,动态查找,静态数组,6,0
动态规划入门与树的度具有相反的作用,anto,动态规划入门,树的度,0,7
实现入度时需要依赖有向图,b-rely,有向图,入度,9,2
映射与邻接表具有相同的含义,syno,映射,邻接表,0,3
稳定排序是分割的重要属性,attr,分割,稳定排序,5,0
树的度由桶排序等部分构成,belg,树的度,桶排序,0,4
LFU缓存和数据项是对立的概念,anto,LFU缓存,数据项,0,6
在数据结构中，扩容和操作效率表示相同的概念,syno,扩容,操作效率,7,10
开放寻址是数据类型的重要属性,b-attr,开放寻址,数据类型,0,5
指针包含二项堆,b-belg,二项堆,指针,4,0
空表与局部最优具有相反的作用,anto,空表,局部最优,0,3
出队和布隆过滤器是相反的操作,anto,出队,布隆过滤器,0,3
前序遍历由旋转等部分构成,belg,前序遍历,旋转,0,5
比较排序是分治的组成部分,belg,分治,比较排序,5,0
双端队列是索引存储的重要属性,b-attr,双端队列,索引存储,0,5
循环链表具有边属性,attr,循环链表,边,0,6
不稳定排序表现出静态数组的特性,attr,不稳定排序,静态数组,0,8
动态内存的特征是前缀树,b-attr,前缀树,动态内存,8,0
分治算法表现出优先队列的特性,b-attr,优先队列,分治算法,7,0
链表是聚合分析的组成部分,belg,聚合分析,链表,3,0
最小生成树包含对象池,belg,最小生成树,对象池,0,7
在数据结构中，合并和会计方法表示相同的概念,syno,合并,会计方法,7,10
线性表是AVL树的组成部分,belg,AVL树,线性表,4,0
斐波那契堆与前序遍历具有相同的含义,syno,斐波那契堆,前序遍历,0,6
在算法中，叶子节点和多源最短路径执行相反的功能,anto,叶子节点,多源最短路径,5,10
静态数组表现出选择排序的特性,attr,静态数组,选择排序,0,7
AOV网依赖于稠密图,rely,AOV网,稠密图,0,7
二分查找具有缩容属性,attr,二分查找,缩容,0,6
计数排序的实现基于散列文件,rely,计数排序,散列文件,0,9
线段树需要使用左子树,b-rely,左子树,线段树,7,0
LFU缓存需要使用内存池,rely,LFU缓存,内存池,0,9
贪心的特征是回溯法,b-attr,回溯法,贪心,6,0
折半查找和布隆过滤器是同义概念,syno,折半查找,布隆过滤器,0,5
双端队列的实现基于查找,rely,双端队列,查找,0,9
树的实现基于随机访问,rely,树,随机访问,0,6
有序表与双端队列具有相同的含义,syno,有序表,双端队列,0,4
在最小生成树中包含了聚合分析,b-belg,聚合分析,最小生成树,10,1
在数据结构中，AOE网和散列表表示相同的概念,syno,AOE网,散列表,7,12
在算法中，删除和出度执行相反的功能,anto,删除,出度,5,8
内存回收包含折半查找,b-belg,折半查找,内存回收,6,0
稳定排序和穷举法是对立的概念,anto,稳定排序,穷举法,0,5
垃圾回收需要使用表长,b-rely,表长,垃圾回收,8,0
在垃圾回收中包含了数组,b-belg,数组,垃圾回收,9,1
在重叠子问题中包含了贪心选择性质,belg,重叠子问题,贪心选择性质,1,10
实现树的节点时需要依赖最好情况,rely,树的节点,最好情况,2,11
循环链表是势能方法的重要属性,attr,势能方法,循环链表,5,0
堆内存的特征是多路归并,attr,堆内存,多路归并,0,7
栈内存的特征是双向链表,attr,栈内存,双向链表,0,7
在数据结构中，路径压缩和后缀树表示相同的概念,syno,路径压缩,后缀树,7,12
稳定性表现出贪心的特性,attr,稳定性,贪心,0,6
哈希表是分块查找的重要属性,attr,分块查找,哈希表,4,0
在算法中，时间复杂度和贪心算法执行相反的功能,anto,时间复杂度,贪心算法,5,11
线性查找与最好情况具有相同的含义,syno,线性查找,最好情况,0,5
十字链表等同于强连通图,syno,十字链表,强连通图,0,7
函数式数据结构的实现基于双端队列,b-rely,双端队列,函数式数据结构,12,0
负权边和对象池是相反的操作,anto,负权边,对象池,0,4
并查集的实现基于AVL树,rely,并查集,AVL树,0,8
有序序列需要使用前缀树,b-rely,前缀树,有序序列,8,0
实现Floyd算法时需要依赖动态查找,rely,Floyd算法,动态查找,2,14
Kruskal算法由无序表等部分构成,b-belg,无序表,Kruskal算法,10,0
原地排序和递推是同义概念,syno,原地排序,递推,0,5
数据元素是动态查找的组成部分,b-belg,数据元素,动态查找,0,5
链地址法是数据项的组成部分,b-belg,链地址法,数据项,0,5
最小生成树需要使用对象池,rely,最小生成树,对象池,0,9
强连通分量的实现基于普里姆算法,b-rely,普里姆算法,强连通分量,10,0
删除的特征是动态内存,b-attr,动态内存,删除,6,0
静态内存具有内部排序属性,b-attr,内部排序,静态内存,6,0
散列文件的实现基于二路归并,rely,散列文件,二路归并,0,9
物理结构的实现基于迭代,rely,物理结构,迭代,0,9
在基数排序中包含了递归基础,belg,基数排序,递归基础,1,9
树和比较排序是同义概念,syno,树,比较排序,0,2
普里姆算法和静态内存是同义概念,syno,普里姆算法,静态内存,0,6
数据元素表现出弱连通图的特性,b-attr,弱连通图,数据元素,7,0
回溯算法具有父节点属性,attr,回溯算法,父节点,0,6
非线性结构是时间复杂度的重要属性,attr,时间复杂度,非线性结构,6,0
算法步骤和Ω记号是同义概念,syno,算法步骤,Ω记号,0,5
LFU缓存表现出平衡因子的特性,attr,LFU缓存,平衡因子,0,8
实现路径压缩时需要依赖多源最短路径,b-rely,多源最短路径,路径压缩,11,2
线段树是迭代法的组成部分,belg,迭代法,线段树,4,0
平均情况的实现基于弗洛伊德算法,b-rely,弗洛伊德算法,平均情况,9,0
栈包含边的方向,belg,栈,边的方向,0,3
入度的特征是非连通图,attr,入度,非连通图,0,6
在算法中，边的权重和遍历执行相反的功能,anto,边的权重,遍历,5,10
完全二叉树表现出普里姆算法的特性,attr,完全二叉树,普里姆算法,0,8
随机访问等同于迭代法,syno,随机访问,迭代法,0,7
记忆化搜索的实现基于迪杰斯特拉算法,rely,记忆化搜索,迪杰斯特拉算法,0,10
中序遍历依赖于散列表,rely,中序遍历,散列表,0,7
递归由静态数组等部分构成,b-belg,静态数组,递归,3,0
线性结构依赖于堆,rely,线性结构,堆,0,7
字典树和边表是同义概念,syno,字典树,边表,0,4
最好情况依赖于对象池,rely,最好情况,对象池,0,7
查找成功是动态数组的组成部分,belg,动态数组,查找成功,5,0
大O记号是算法的确定性的重要属性,attr,算法的确定性,大O记号,5,0
垃圾回收和空表是相反的操作,anto,垃圾回收,空表,0,5
直接插入排序表现出中序遍历的特性,attr,直接插入排序,中序遍历,0,9
顺序查找依赖于基数排序,b-rely,基数排序,顺序查找,7,0
图的顶点具有中序遍历属性,b-attr,中序遍历,图的顶点,6,0
在删除中包含了父节点,belg,删除,父节点,1,7
最长路径依赖于位序,b-rely,位序,最长路径,7,0
图需要使用动态内存,rely,图,动态内存,0,5
双端队列由全局最优等部分构成,b-belg,全局最优,双端队列,5,0
实现前驱节点时需要依赖动态查找,b-rely,动态查找,前驱节点,11,2
表尾依赖于出队,rely,表尾,出队,0,5
快速排序表现出有序序列的特性,attr,快速排序,有序序列,0,7
基数排序的实现基于大O记号,b-rely,大O记号,基数排序,9,0
在数据结构中，Dijkstra算法和边的方向表示相同的概念,syno,Dijkstra算法,边的方向,7,18
有序序列和数组是相反的操作,anto,有序序列,数组,0,5
递推是指数查找的组成部分,belg,指数查找,递推,3,0
动态内存是分割的重要属性,b-attr,动态内存,分割,0,5
双向链表需要使用前缀树,b-rely,前缀树,双向链表,8,0
顺序查找与加权图具有相反的作用,anto,顺序查找,加权图,0,5
Kruskal算法是引用计数的重要属性,attr,引用计数,Kruskal算法,10,0
插入排序需要使用加权图,rely,插入排序,加权图,0,8
在稳定排序中包含了稳定性,belg,稳定排序,稳定性,1,9
递归依赖于字典树,b-rely,字典树,递归,5,0
LFU缓存是递归基础的重要属性,b-attr,LFU缓存,递归基础,0,6
分治算法具有最短路径属性,b-attr,最短路径,分治算法,6,0
快速排序依赖于稠密图,b-rely,稠密图,快速排序,7,0
Prim算法具有AVL树属性,attr,Prim算法,AVL树,0,8
在按秩合并中包含了基数排序,belg,按秩合并,基数排序,1,9
LRU缓存和Θ记号是同义概念,syno,LRU缓存,Θ记号,0,6
插入排序等同于树的节点,syno,插入排序,树的节点,0,7
邻接表是内存分配的重要属性,attr,内存分配,邻接表,4,0
并查集包含强连通分量,b-belg,强连通分量,并查集,5,0
不相交集合等同于双向队列,syno,不相交集合,双向队列,0,8
记忆化搜索是满二叉树的组成部分,belg,满二叉树,记忆化搜索,6,0
线性结构需要使用边的方向,rely,线性结构,边的方向,0,8
哈希函数由链式存储等部分构成,b-belg,链式存储,哈希函数,5,0
树的度等同于字典树,syno,树的度,字典树,0,6
回溯算法的实现基于多源最短路径,rely,回溯算法,多源最短路径,0,9
回溯法包含简单排序,b-belg,简单排序,回溯法,5,0
哈希查找和树的深度是相反的操作,anto,哈希查找,树的深度,0,5
后继节点是链表的组成部分,b-belg,后继节点,链表,0,5
头节点由后继节点等部分构成,belg,头节点,后继节点,0,4
查找成功表现出希尔排序的特性,attr,查找成功,希尔排序,0,7
满二叉树和旋转是同义概念,syno,满二叉树,旋转,0,5
简单排序是前序遍历的重要属性,attr,前序遍历,简单排序,5,0
操作效率是稠密图的组成部分,b-belg,操作效率,稠密图,0,5
在数据结构中，强连通分量和位序表示相同的概念,syno,强连通分量,位序,7,13
分块查找是入度的重要属性,attr,入度,分块查找,5,0
右子树是逻辑结构的重要属性,b-attr,右子树,逻辑结构,0,4
分治算法的特征是聚合分析,attr,分治算法,聚合分析,0,8
并查集依赖于图,rely,并查集,图,0,6
边是字典树的重要属性,attr,字典树,边,2,0
双向队列由稳定排序等部分构成,b-belg,稳定排序,双向队列,5,0
归并排序由势能方法等部分构成,b-belg,势能方法,归并排序,5,0
链式存储和树是对立的概念,anto,链式存储,树,0,5
数组是栈内存的重要属性,b-attr,数组,栈内存,0,3
前缀树等同于内存池,syno,前缀树,内存池,0,6
时间复杂度是稳定排序的重要属性,b-attr,时间复杂度,稳定排序,0,6
入队包含局部最优,belg,入队,局部最优,0,4
树的深度和路径是同义概念,syno,树的深度,路径,0,5
分块查找与希尔排序具有相同的含义,syno,分块查找,希尔排序,0,5
负权边和前序遍历是对立的概念,anto,负权边,前序遍历,0,4
位序的特征是顶点度数,attr,位序,顶点度数,0,6
比较排序与LFU缓存具有相同的含义,syno,比较排序,LFU缓存,0,5
二分查找表现出散列存储的特性,b-attr,散列存储,二分查找,7,0
AC自动机表现出桶排序的特性,b-attr,桶排序,AC自动机,8,0
实现散列存储时需要依赖递归,b-rely,递归,散列存储,11,2
实现逻辑结构时需要依赖交换排序,b-rely,交换排序,逻辑结构,11,2
在子树中包含了比较排序,belg,子树,比较排序,1,7
加权图需要使用AOV网,b-rely,AOV网,加权图,7,0
抽象数据类型具有全局最优属性,attr,抽象数据类型,全局最优,0,8
平均查找长度和负权边是相反的操作,anto,平均查找长度,负权边,0,7
算法的有穷性和链表是相反的操作,anto,算法的有穷性,链表,0,7
最坏情况具有树的度属性,attr,最坏情况,树的度,0,6
在算法中，AOV 网和内部排序执行相反的功能,anto,AOV 网,内部排序,5,11
非连通图的特征是直接插入排序,attr,非连通图,直接插入排序,0,8
折半查找是邻接矩阵的组成部分,b-belg,折半查找,邻接矩阵,0,5
最短路径等同于Θ记号,syno,最短路径,Θ记号,0,7
迭代由堆等部分构成,belg,迭代,堆,0,3
KMP算法具有连通图属性,attr,KMP算法,连通图,0,7
实现堆排序时需要依赖栈,b-rely,栈,堆排序,10,2
实现更新时需要依赖Prim算法,rely,更新,Prim算法,2,9
在二分查找中包含了图,b-belg,图,二分查找,9,1
子节点依赖于图的顶点,b-rely,图的顶点,子节点,6,0
在优先队列中包含了连通分量,b-belg,连通分量,优先队列,9,1
散列存储具有递归基础属性,b-attr,递归基础,散列存储,6,0
栈依赖于算法的有穷性,rely,栈,算法的有穷性,0,4
最短路径的特征是分块查找,attr,最短路径,分块查找,0,8
动态规划入门是数据项的组成部分,belg,数据项,动态规划入门,7,0
实现前缀树时需要依赖最短路径,rely,前缀树,最短路径,2,10
邻接矩阵具有渐近复杂度属性,b-attr,渐近复杂度,邻接矩阵,6,0
遍历依赖于开放寻址,b-rely,开放寻址,遍历,5,0
实现集合时需要依赖递推,b-rely,递推,集合,9,2
贪心是不相交集合的重要属性,attr,不相交集合,贪心,3,0
双端队列是冒泡排序的重要属性,attr,冒泡排序,双端队列,5,0
B+树和更新是同义概念,syno,B+树,更新,0,4
在有序表中包含了顺序查找,b-belg,顺序查找,有序表,8,1
树表查找包含邻接矩阵,belg,树表查找,邻接矩阵,0,6
贪心策略的实现基于拓扑排序,rely,贪心策略,拓扑排序,0,9
树的高度等同于散列表,syno,树的高度,散列表,0,7
实现简单排序时需要依赖缩容,b-rely,缩容,简单排序,11,2
实现非连通图时需要依赖链式存储,b-rely,链式存储,非连通图,11,2
原地排序的特征是数据元素,b-attr,数据元素,原地排序,8,0
AOE 网需要使用可持久化数据结构,rely,AOE 网,可持久化数据结构,0,9
在数据结构中，排序和销毁表示相同的概念,syno,排序,销毁,7,10
冒泡排序是排序算法稳定性的组成部分,b-belg,冒泡排序,排序算法稳定性,0,5
B树是二叉树的组成部分,b-belg,B树,二叉树,0,3
插入与循环队列具有相同的含义,syno,插入,循环队列,0,3
实现优先队列时需要依赖动态数组,b-rely,动态数组,优先队列,11,2
动态规划的实现基于平均查找长度,rely,动态规划,平均查找长度,0,9
连通分量包含无序表,belg,连通分量,无序表,0,6
动态规划和满二叉树是同义概念,syno,动态规划,满二叉树,0,5
边需要使用路径压缩,rely,边,路径压缩,0,5
指针表现出稀疏图的特性,attr,指针,稀疏图,0,5
实现二叉树时需要依赖对象池,rely,二叉树,对象池,2,10
在链表中包含了数据项,b-belg,数据项,链表,7,1
引用需要使用前缀树,rely,引用,前缀树,0,6
摊还分析是普里姆算法的组成部分,b-belg,摊还分析,普里姆算法,0,5
不稳定排序和路径压缩是同义概念,syno,不稳定排序,路径压缩,0,6
实现邻接矩阵时需要依赖外部排序,rely,邻接矩阵,外部排序,2,11
尾节点等同于栈,syno,尾节点,栈,0,6
实现后缀树时需要依赖旋转,b-rely,旋转,后缀树,10,2
树状数组需要使用算法的有穷性,b-rely,算法的有穷性,树状数组,8,0
穷举法是叶子节点的重要属性,attr,叶子节点,穷举法,4,0
在引用计数中包含了静态查找,b-belg,静态查找,引用计数,9,1
链地址法表现出Bellman-Ford算法的特性,attr,链地址法,Bellman-Ford算法,0,7
树的度是散列存储的组成部分,belg,散列存储,树的度,4,0
原地排序具有克鲁斯卡尔算法属性,attr,原地排序,克鲁斯卡尔算法,0,6
指数查找包含最小生成树,b-belg,最小生成树,指数查找,6,0
分治是非线性结构的重要属性,attr,非线性结构,分治,3,0
稠密图是数据元素的组成部分,belg,数据元素,稠密图,4,0
在穷举法中包含了移动,b-belg,移动,穷举法,8,1
多源最短路径的特征是出栈,b-attr,出栈,多源最短路径,10,0
尾节点需要使用斐波那契堆,rely,尾节点,斐波那契堆,0,7
贪心的特征是开放寻址,b-attr,开放寻址,贪心,6,0
贪心的特征是入栈,b-attr,入栈,贪心,6,0
头节点依赖于指数查找,rely,头节点,指数查找,0,6
非比较排序包含弱连通图,belg,非比较排序,弱连通图,0,7
实现单源最短路径时需要依赖线性查找,b-rely,线性查找,单源最短路径,13,2
链表由强连通分量等部分构成,belg,链表,强连通分量,0,3
希尔排序依赖于贪心策略,rely,希尔排序,贪心策略,0,7
AOE网包含聚合分析,b-belg,聚合分析,AOE网,6,0
实现平衡二叉树时需要依赖随机访问,b-rely,随机访问,平衡二叉树,12,2
内存分配和最坏情况是同义概念,syno,内存分配,最坏情况,0,5
在快速排序中包含了查找,belg,快速排序,查找,1,9
非线性结构和冲突解决是对立的概念,anto,非线性结构,冲突解决,0,6
在插值查找中包含了位序,belg,插值查找,位序,1,9
动态规划表现出有序表的特性,attr,动态规划,有序表,0,7
循环队列表现出移动的特性,b-attr,移动,循环队列,7,0
双向队列需要使用链地址法,rely,双向队列,链地址法,0,8
最好情况的实现基于存储结构,rely,最好情况,存储结构,0,9
实现分支限界时需要依赖无向图,rely,分支限界,无向图,2,11
散列表的特征是稳定性,b-attr,稳定性,散列表,7,0
在稠密图中包含了度,b-belg,度,稠密图,8,1
实现冲突解决时需要依赖表长,b-rely,表长,冲突解决,11,2
局部最优等同于移动,syno,局部最优,移动,0,7
链地址法是线段树的重要属性,b-attr,链地址法,线段树,0,5
在数据结构中，拓扑排序和递归基础表示相同的概念,syno,拓扑排序,递归基础,7,12
完全二叉树的实现基于入队,b-rely,入队,完全二叉树,10,0
红黑树是内存分配的组成部分,belg,内存分配,红黑树,4,0
表尾是加权图的重要属性,b-attr,表尾,加权图,0,3
垃圾回收需要使用交换排序,rely,垃圾回收,交换排序,0,8
希尔排序和子树是同义概念,syno,希尔排序,子树,0,5
克鲁斯卡尔算法与叶子节点具有相反的作用,anto,克鲁斯卡尔算法,叶子节点,0,8
深度优先搜索具有表长属性,b-attr,表长,深度优先搜索,8,0
路径压缩表现出满二叉树的特性,b-attr,满二叉树,路径压缩,7,0
快速排序与迪杰斯特拉算法具有相反的作用,anto,快速排序,迪杰斯特拉算法,0,5
穷举法具有图属性,b-attr,图,穷举法,5,0
链表节点和二路归并是相反的操作,anto,链表节点,二路归并,0,5
在数据结构中，静态内存和出栈表示相同的概念,syno,静态内存,出栈,7,12
稀疏图是连通分量的组成部分,b-belg,稀疏图,连通分量,0,4
前缀树包含穷举法,b-belg,穷举法,前缀树,5,0
基数排序的特征是双向链表,b-attr,双向链表,基数排序,8,0
出队具有位序属性,attr,出队,位序,0,4
左子树与直接插入排序具有相反的作用,anto,左子树,直接插入排序,0,4
无序表包含回溯法,belg,无序表,回溯法,0,5
平均查找长度的特征是基数排序,attr,平均查找长度,基数排序,0,10
AOE 网的实现基于希尔排序,rely,AOE 网,希尔排序,0,10
可持久化数据结构等同于入栈,syno,可持久化数据结构,入栈,0,11
满二叉树由指数查找等部分构成,b-belg,指数查找,满二叉树,5,0
静态内存是稳定排序的组成部分,belg,稳定排序,静态内存,5,0
引用是迭代的组成部分,belg,迭代,引用,3,0
实现哈希函数时需要依赖空表,b-rely,空表,哈希函数,11,2
静态查找表现出边的方向的特性,attr,静态查找,边的方向,0,7
图的边和迭代法是同义概念,syno,图的边,迭代法,0,4
销毁包含父节点,b-belg,父节点,销毁,4,0
线性结构的特征是旋转,b-attr,旋转,线性结构,8,0
贪心选择性质包含邻接多重表,belg,贪心选择性质,邻接多重表,0,8
实现动态数组时需要依赖并查集,b-rely,并查集,动态数组,11,2
并查集由非连通图等部分构成,belg,并查集,非连通图,0,4
空表是位序的组成部分,b-belg,空表,位序,0,3
LRU缓存是迪杰斯特拉算法的重要属性,b-attr,LRU缓存,迪杰斯特拉算法,0,6
稠密图依赖于迪杰斯特拉算法,rely,稠密图,迪杰斯特拉算法,0,6
插入排序是大O记号的重要属性,b-attr,插入排序,大O记号,0,5
引用计数的特征是抽象数据类型,attr,引用计数,抽象数据类型,0,8
移动依赖于扩容,b-rely,扩容,移动,5,0
Bellman-Ford算法的实现基于加权图,b-rely,加权图,Bellman-Ford算法,19,0
LRU缓存的实现基于插入排序,b-rely,插入排序,LRU缓存,10,0
边的权重由不相交集合等部分构成,belg,边的权重,不相交集合,0,5
最好情况由访问等部分构成,belg,最好情况,访问,0,5
线性查找和入栈是相反的操作,anto,线性查找,入栈,0,5
LRU缓存具有顺序存储属性,attr,LRU缓存,顺序存储,0,7
平均查找长度依赖于Dijkstra算法,rely,平均查找长度,Dijkstra算法,0,9
更新是动态查找的组成部分,b-belg,更新,动态查找,0,3
哈希函数表现出AOE网的特性,b-attr,AOE网,哈希函数,7,0
势能方法具有平均情况属性,attr,势能方法,平均情况,0,6
内部排序和递推是相反的操作,anto,内部排序,递推,0,5
平均情况包含静态内存,b-belg,静态内存,平均情况,6,0
势能方法和物理结构是对立的概念,anto,势能方法,物理结构,0,5
平衡和链地址法是同义概念,syno,平衡,链地址法,0,3
不稳定排序包含表长,belg,不稳定排序,表长,0,7
聚合分析包含时间复杂度,belg,聚合分析,时间复杂度,0,6
实现合并时需要依赖Kruskal算法,b-rely,Kruskal算法,合并,9,2
